"TF" "Target" "Score" "Likelihood"
"IRF3" "ENTPD6" "0.533525409174849" "0.016983016983017"
"IRF3" "SKIV2L" "0.620374359742834" "0.35964035964036"
"IRF3" "DHX16" "0.535398906981357" "0.297702297702298"
"IRF3" "QTRT1" "0.556358824960273" "0.33966033966034"
"PRRX1" "FHL2" "0.581064021141021" "0.0079920079920079"
"PRRX1" "HPCAL1" "-0.582820301174187" "0.044955044955045"
"OSR1" "TBC1D2" "-0.549321872203761" "0.0539460539460539"
"OSR1" "MAP7D3" "0.542304919235161" "0.0009990009990009"
"OSR1" "CACNB2" "0.588574911708907" "0.002997002997003"
"MEOX2" "NUAK1" "0.662024173936079" "0.025974025974026"
"MEOX2" "CYP39A1" "0.598324738116136" "0.045954045954046"
"MEOX2" "ARHGEF37" "0.616591032315953" "0.0099900099900099"
"MEOX2" "LBH" "0.620575552063764" "0.0099900099900099"
"HOXD8" "PDE7B" "0.633104835356245" "0.0099900099900099"
"MSC" "PKDCC" "-0.561634859506689" "0.001998001998002"
"MSC" "MPEG1" "0.666998707241197" "0.437562437562438"
"ZNF219" "BAD" "0.566822900728079" "0.013986013986014"
"ZNF219" "ATXN7L3" "0.546443736468876" "0.0009990009990009"
"ZNF219" "DVL1" "0.586951825001187" "0.0089910089910089"
"ZNF219" "STK11" "0.657584305463174" "0.122877122877123"
"ZNF219" "HS1BP3" "0.55766983505184" "0.003996003996004"
"ZNF219" "KIF1C" "0.607912203617124" "0.001998001998002"
"ZNF219" "PGPEP1" "0.563824543213029" "0.021978021978022"
"ZNF219" "SAMD1" "0.600365333997433" "0.137862137862138"
"ZNF219" "CTDSP1" "0.692253973984478" "0.001998001998002"
"ZNF219" "PSKH1" "0.650752505084788" "0.047952047952048"
"ZNF219" "MGAT4B" "0.752600963196705" "0.914085914085914"
"ZNF219" "HPS6" "0.582462447058655" "0.016983016983017"
"ZNF219" "CTDSP2" "0.574653475329038" "0.004995004995005"
"ZNF219" "LDB1" "0.62640589132778" "0.034965034965035"
"RFX5" "TYMP" "0.559292821498724" "0.0009990009990009"
"RFX5" "ACACB" "-0.581966595625232" "0.003996003996004"
"RFX5" "CASC3" "-0.534907027919655" "0.001998001998002"
